,Year,month,KTO_total,KTO_perc,USA_total,USA_perc,Canada_total,Canada_perc,Brazil_total,Brazil_perc,DominicanRepublic_total,DominicanRepublic_perc,Jamaica_total,Jamaica_perc,Guatemala_total,Guatemala_perc,Chile_total,Chile_perc,CostaRica_total,CostaRica_perc,Panama_total,Panama_perc,Peru_total,Peru_perc,Mexico_total,Mexico_perc,Ecuador_total,Ecuador_perc
141,,8월,1835249,0.18617974615965815,161642,0.07387624400419868,22622,0.09799543755763729,,,171,-0.14925373134328357,38,0.3571428571428572,,,864,0.2272727272727273,289,-0.2720403022670025,415,0.2808641975308641,,,7572,0.3521428571428571,,
142,,9월,1511657,0.14407402445937426,146037,0.2130931020733653,20968,0.06647678144550118,,,124,0.21568627450980382,37,1.4666666666666668,,,1738,0.022954679223072372,250,-0.09090909090909094,376,0.5346938775510204,,,6339,0.20536223616657168,,
143,,10월,1735308,0.21172264506668528,153690,0.2118846545076054,20265,0.12922099632230033,,,210,0.4482758620689655,26,0,,,,,300,0.006711409395973256,415,0.25377643504531733,,,8146,0.1520294159241975,,
144,,11월,1626063,0.26173265029633275,145991,0.3815616394280361,9718,0.16132887189292533,,,170,0.04938271604938271,23,-0.39473684210526316,,,1555,0.25403225806451624,378,0.2642140468227425,526,0.4570637119113574,,,10553,0.4939127972819932,,
145,,12월,1781715,0.2453649565904812,164238,0.23049605538198747,12727,0.12498895076460714,,,165,0.5,36,-0.027027027027026973,,,1872,0.4705420267085625,486,0.30294906166219837,420,0.09090909090909083,,,10577,0.10119729307652259,,
146,2016년,1월,2112337,0.1514272258192526,181347,0.1321804276572498,12658,0.13882141250562308,50312,-0.008141941843272549,201,1.2584269662921348,42,-0.4545454545454546,,,16323,-0.0034190121497038595,502,0.08893709327548804,492,0.12072892938496582,21347,-0.07564735429115788,9365,0.23321042928627866,5053,0.002181673938913109
147,,2월,1876928,0.29836491056710357,150529,0.2658856969860064,11806,0.2563584122592317,,,183,1.103448275862069,34,-0.24444444444444446,,,,,415,-0.03935185185185186,,,,,7307,0.1567199620072819,,
148,,3월,1569162,0.1076309943720648,126499,0.11365537155886574,10341,0.12438838751766879,,,190,-0.005235602094240788,26,-0.1333333333333333,,,,,451,0.2885714285714285,,,,,8465,-0.02420749279538903,,
149,,4월,1636597,0.09437698099581393,136312,0.030901638104457563,14582,0.23335870760382305,,,146,0.26956521739130435,21,-0.32258064516129037,,,,,292,-0.10703363914373087,,,,,7217,0.03916486681065523,,
150,,5월,1656728,0.049050032768408025,154922,0.0011955770113158959,21143,0.06562169245501748,,,206,1.168421052631579,18,-0.3076923076923077,,,,,283,0.23043478260869565,,,,,6931,-0.12276926971269464,,
151,,6월,1778317,0.2946858180002052,172488,0.16587696945527797,29325,0.17483273907295382,,,191,0.3642857142857143,46,1,,,,,321,-0.098314606741573,,,,,6245,-0.17120106171201066,,
152,,7월,2086068,0.24516692810738405,195374,0.10836661523100655,41841,0.3031737627308686,,,256,0.007874015748031482,41,0.2058823529411764,,,,,368,0.19480519480519476,,,,,6646,-0.08958904109589039,,
153,,8월,2064241,0.1247743494207052,171043,0.05815938926764086,31165,0.3776412341967996,,,248,0.45029239766081863,16,-0.5789473684210527,,,,,286,-0.01038062283737029,,,,,7295,-0.036582144743792955,,
154,,9월,1904524,0.2598916288549584,179262,0.22751083629491164,33283,0.5873235406333461,,,220,0.7741935483870968,19,-0.4864864864864865,,,,,279,0.1160000000000001,,,,,6065,-0.04322448335699636,,
155,,10월,1865552,0.075055263964668,168447,0.09601795822760106,23195,0.1445842585738959,,,215,0.023809523809523725,49,0.8846153846153846,,,,,343,0.1433333333333333,,,,,7363,-0.09612079548244534,,
156,,11월,1825701,0.12277384086594423,159663,0.0936496085375127,11170,0.1494134595595802,,,197,0.1588235294117648,33,0.4347826086956521,,,,,373,-0.013227513227513255,,,,,9048,-0.1426134748412774,,
157,,12월,2007035,0.12646242524758455,186630,0.13633872794359414,14250,0.11966685000392863,,,170,0.030303030303030276,25,-0.3055555555555556,,,,,429,-0.11728395061728392,,,,,10246,-0.031294317859506426,,
158,2017년,1월,2343048,0.10922073513837982,206737,0.14000783029220232,15946,0.25975667562016125,42997,-0.14539274924471302,270,0.34328358208955234,60,0.4285714285714286,,,20410,0.2503828953011089,506,0.007968127490039834,,,29323,0.37363563966833757,9007,-0.03822744260544586,5606,0.10943993667128438
159,,2월,2231269,0.18878774252395414,171611,0.14005274731114925,12419,0.05192275114348632,,,185,0.010928961748633892,74,1.176470588235294,,,,,564,0.35903614457831323,,,,,7518,0.02887641987135625,,
160,,3월,1940542,0.23667409738446388,158169,0.2503577103376311,12672,0.22541340295909484,,,140,-0.26315789473684215,27,0.03846153846153855,,,,,498,0.10421286031042132,,,,,8169,-0.03496751329001768,,
161,,4월,2003943,0.2244572121298034,181498,0.3314895240331006,19846,0.36099300507474963,,,236,0.6164383561643836,26,0.23809523809523814,,,,,419,0.43493150684931514,,,,,7810,0.08216710544547601,,
162,,5월,2003834,0.2095129677291625,182857,0.18031654639108718,26633,0.259660407699948,,,260,0.2621359223300972,52,1.8888888888888888,,,,,442,0.5618374558303887,,,,,7848,0.132304140816621,,
163,,6월,2098126,0.17983801538195943,198157,0.1488161495292426,33701,0.1492242114236999,,,367,0.9214659685863875,33,-0.28260869565217395,,,,,331,0.031152647975077885,,,,,7117,0.13963170536429148,,
164,,7월,2389447,0.14543102142403797,219753,0.12478118889923939,41148,-0.016562701656270162,,,423,0.65234375,24,-0.41463414634146345,,,,,449,0.22010869565217384,,,,,9545,0.4362022269034005,,
165,,8월,2385301,0.15553416485768867,202835,0.1858713890659074,30231,-0.029969517086475217,,,155,-0.375,10,-0.375,,,,,337,0.17832167832167833,,,,,8715,0.19465387251542143,,
166,,9월,2236500,0.08344907401800472,219849,0.22641162097934875,41309,0.24114412763272552,,,190,-0.13636363636363635,18,0.125,,,,,382,0.3691756272401434,,,,,8409,0.3864798021434459,,
167,,10월,2231748,0.19629364391879722,203809,0.2099295327313635,34917,0.5053675361069196,,,188,-0.12558139534883717,14,-0.7142857142857143,,,,,328,-0.04373177842565601,,,,,9686,0.3154964009235366,,
168,,11월,2227747,0.22021459154593215,178959,0.12085454989571787,16479,0.475290957923008,,,275,0.3959390862944163,21,-0.36363636363636365,,,,,465,0.2466487935656836,,,,,10511,0.1616931918656057,,
169,,12월,2342310,0.16704990196982106,210605,0.12846273375127248,16175,0.1350877192982456,,,,,31,0.24,,,,,470,0.09557109557109555,,,,,12383,0.20856919773570182,,
