,Year,month,KTO_total,KTO_perc,SouthAfrica_total,SouthAfrica_perc,Mauritius_total,Mauritius_perc,eSwatini_total,eSwatini_perc,Seychelles_total,Seychelles_perc,Zimbabwe_total,Zimbabwe_perc,Uganda_total,Uganda_perc,SierraLeone_total,SierraLeone_perc
232,,3월,1472193,9.117956330797304,692,0.9828080229226361,239,33.142857142857146,53,-0.41758241758241754,,,,,,,,
233,,4월,1497105,5.955320888657629,681,0.8455284552845528,273,6,78,0.30000000000000004,,,,,,,,
234,,5월,1683022,4.326946145689915,,,379,5.015873015873016,103,0.45070422535211274,,,,,,,,
235,,6월,,,,,,,,,,,,,,,,
236,,7월,,,,,,,,,,,,,,,,
237,,8월,,,,,,,,,,,,,,,,
238,,9월,,,,,,,,,,,,,,,,
239,,10월,,,,,,,,,,,,,,,,
240,,11월,,,,,,,,,,,,,,,,
241,,12월,,,,,,,,,,,,,,,,
242,2000년,누계,5508242,0.269,,,,,,,62,,,,,,,
243,2001년,누계,6084476,0.10461305077010041,,,,,,,31,-0.5,,,,,,
244,2002년,누계,7123407,0.17075110494313717,,,,,,,21,-0.32258064516129037,,,,,,
245,2003년,누계,7086133,-0.005232608497591107,,,,,,,25,0.19047619047619047,6460,,,,,
246,2004년,누계,8825585,0.24547267176610998,13312,,,,,,8,-0.6799999999999999,6514,0.008359133126935037,,,,
247,2005년,누계,10080143,0.14215012375950153,14815,0.11290564903846145,,,809,,30,2.75,3209,-0.5073687442431686,,,,
248,2006년,누계,11609879,0.15175737090237718,16798,0.1338508268646641,,,860,0.06304079110012362,50,0.6666666666666667,5424,0.6902461826114055,,,,
249,2007년,누계,13324977,0.147727465548952,20456,0.2177640195261341,,,1225,0.4244186046511629,116,1.3199999999999998,8209,0.5134587020648969,,,,
250,2008년,누계,11996094,-0.09972872748673411,20285,-0.008359405553382881,,,799,-0.3477551020408163,91,-0.2155172413793104,8209,0,,,,
251,2009년,누계,9494111,-0.2085664717198782,14406,-0.28982006408676364,,,1131,0.41551939924906134,84,-0.07692307692307687,13043,0.5888658789133878,,,,
252,2010년,누계,12488364,0.3153800287357078,17519,0.21609051783978894,,,1136,0.004420866489831976,214,1.5476190476190474,6449,-0.505558537146362,,,15,
253,2011년,누계,12693733,0.01644482816163917,18290,0.044009361264912394,1658,,1254,0.10387323943661975,472,1.2056074766355138,12258,0.9007598077221275,1658,,101,5.733333333333333
254,2012년,누계,13736976,0.08218567382817965,19817,0.08348824494259155,2651,0.5989143546441495,986,-0.21371610845295053,748,0.5847457627118644,7796,-0.36400717898515256,2076,0.2521109770808203,302,1.99009900990099
255,2013년,누계,14846485,0.08076806714956763,16879,-0.14825654740879046,2778,0.04790645039607688,1614,0.6369168356997972,916,0.22459893048128343,8463,0.08555669574140579,2391,0.15173410404624277,115,-0.619205298013245
256,2014년,누계,16080684,0.08313072084065687,12846,-0.23893595592155936,3182,0.14542836573074158,2124,0.3159851301115242,1074,0.17248908296943233,5273,-0.37693489306392536,2432,0.017147636971978297,39,-0.6608695652173913
257,2015년,누계,19310430,0.20084630728394393,13561,0.05565934921376314,3494,0.09805153991200499,2315,0.08992467043314512,1371,0.276536312849162,5322,0.009292622795372685,1885,-0.2249177631578947,12,-0.6923076923076923
258,2016년,누계,22383190,0.15912436957644127,18840,0.3892780768379913,6025,0.724384659416142,2300,-0.006479481641468721,1658,0.20933625091174335,12956,1.4344231491920332,2971,0.5761273209549072,226,17.833333333333332
259,2017년,누계,26496447,0.18376545076908157,22173,0.17691082802547764,6858,0.13825726141078842,1905,-0.17173913043478262,1562,-0.0579010856453559,20074,0.5493979623340537,2076,-0.30124537192864353,198,-0.12389380530973448
260,2018년,누계,28695983,0.08301248842910902,21868,-0.013755468362422807,7204,0.05045202682997951,2032,0.06666666666666665,1435,-0.08130601792573622,33759,0.6817276078509515,0,-1,201,0.015151515151515138
261,2019년,누계,28714247,0.000636465389598273,19947,-0.08784525333821114,7072,-0.018323153803442516,2109,0.03789370078740162,1007,-0.2982578397212543,0,,0,,,
262,2020년,누계,4276006,-0.8510841673821361,4222,-0.78833909861132,776.03,-0.8902672511312217,388.01,-0.8160218112849692,127.04000000000002,-0.8738430983118173,0,,0,,,
263,2021년,누계,1222541,-0.7140927772318374,1346,-0.6811937470393179,136,-0.8247490432070925,303,-0.21909229143578768,18,-0.8583123425692696,0,,0,,,
264,2022년,누계,6554031,4.36099075613824,5103,2.791233283803863,1171,7.610294117647058,813,1.6831683168316833,54,17,0,,0,,,
265,2023년,누계,8159513,7.709519133265731,3301,1.814151747655584,1302,10.128205128205128,403,0.29166666666666674,0,,,,,,,
